Categorie;Ordre;Famille;Nom_EN;Nom_LT;Nom_FR;Url_EN;Url_FR
Cuckoos;Cuculiformes;Cuculidae;Yellow-billed cuckoo;Coccyzus americanus;coulicou à bec jaune;https://en.wikipedia.org/wiki/Yellow-billed_cuckoo;https://fr.wikipedia.org/wiki/Coulicou_%C3%A0_bec_jaune
Cuckoos;Cuculiformes;Cuculidae;Black-billed cuckoo;Coccyzus erythropthalmus;coulicou à bec noir;https://en.wikipedia.org/wiki/Black-billed_cuckoo;https://fr.wikipedia.org/wiki/Coulicou_%C3%A0_bec_noir
Cuckoos;Cuculiformes;Cuculidae;Common cuckoo;Cuculus canorus;coucou gris;https://en.wikipedia.org/wiki/Common_cuckoo;https://fr.wikipedia.org/wiki/Coucou_gris
Nightjars and allies;Caprimulgiformes;Caprimulgidae;Common nighthawk;Chordeiles minor;engoulevent d'Amérique;https://en.wikipedia.org/wiki/Common_nighthawk;https://fr.wikipedia.org/wiki/Engoulevent_d%27Am%C3%A9rique
Nightjars and allies;Caprimulgiformes;Caprimulgidae;Red-necked nightjar;Caprimulgus ruficollis;engoulevent à collier roux;https://en.wikipedia.org/wiki/Red-necked_nightjar;https://fr.wikipedia.org/wiki/Engoulevent_%C3%A0_collier_roux
Nightjars and allies;Caprimulgiformes;Caprimulgidae;Eurasian nightjar;Caprimulgus europaeus;engoulevent d'Europe;https://en.wikipedia.org/wiki/Eurasian_nightjar;https://fr.wikipedia.org/wiki/Engoulevent_d%27Europe
Swifts;Caprimulgiformes;Apodidae;Chimney swift;Chaetura pelagica;martinet ramoneur;https://en.wikipedia.org/wiki/Chimney_swift;https://fr.wikipedia.org/wiki/Martinet_ramoneur
Swifts;Caprimulgiformes;Apodidae;Alpine swift;Apus melba;martinet à ventre blanc;https://en.wikipedia.org/wiki/Alpine_swift;https://fr.wikipedia.org/wiki/Martinet_%C3%A0_ventre_blanc
Swifts;Caprimulgiformes;Apodidae;Common swift;Apus apus;martinet noir;https://en.wikipedia.org/wiki/Common_swift;https://fr.wikipedia.org/wiki/Martinet_noir
Swifts;Caprimulgiformes;Apodidae;Pallid swift;Apus pallidus;martinet pâle;https://en.wikipedia.org/wiki/Pallid_swift;https://fr.wikipedia.org/wiki/Martinet_p%C3%A2le
Swifts;Caprimulgiformes;Apodidae;Little swift;Apus affinis;martinet des maisons;https://en.wikipedia.org/wiki/Little_swift;https://fr.wikipedia.org/wiki/Martinet_des_maisons
Swifts;Caprimulgiformes;Apodidae;White-rumped swift;Apus caffer;martinet cafre;https://en.wikipedia.org/wiki/White-rumped_swift;https://fr.wikipedia.org/wiki/Martinet_cafre
Rails, gallinules, and coots;Gruiformes;Rallidae;Water rail;Rallus aquaticus;râle d'eau;https://en.wikipedia.org/wiki/Water_rail;https://fr.wikipedia.org/wiki/R%C3%A2le_d%27eau
Rails, gallinules, and coots;Gruiformes;Rallidae;Corn crake;Crex crex;râle des genêts;https://en.wikipedia.org/wiki/Corn_crake;https://fr.wikipedia.org/wiki/R%C3%A2le_des_gen%C3%AAts
Rails, gallinules, and coots;Gruiformes;Rallidae;Sora;Porzana carolina;marouette de Caroline;https://en.wikipedia.org/wiki/Sora_(bird);https://fr.wikipedia.org/wiki/Marouette_de_Caroline
Rails, gallinules, and coots;Gruiformes;Rallidae;Spotted crake;Porzana porzana;marouette ponctuée;https://en.wikipedia.org/wiki/Spotted_crake;https://fr.wikipedia.org/wiki/Marouette_ponctu%C3%A9e
Rails, gallinules, and coots;Gruiformes;Rallidae;Eurasian moorhen;Gallinula chloropus;poule d'eau;https://en.wikipedia.org/wiki/Eurasian_moorhen;https://fr.wikipedia.org/wiki/Gallinule_poule-d%27eau
Rails, gallinules, and coots;Gruiformes;Rallidae;Eurasian coot;Fulica atra;foulque macroule;https://en.wikipedia.org/wiki/Eurasian_coot;https://fr.wikipedia.org/wiki/Foulque_macroule
Rails, gallinules, and coots;Gruiformes;Rallidae;Red-knobbed coot;Fulica cristata;foulque à crête;https://en.wikipedia.org/wiki/Red-knobbed_coot;https://fr.wikipedia.org/wiki/Foulque_%C3%A0_cr%C3%AAte
Rails, gallinules, and coots;Gruiformes;Rallidae;Allen's gallinule;Porphyrio alleni;talève d'Allen;https://en.wikipedia.org/wiki/Allen%27s_gallinule;https://fr.wikipedia.org/wiki/Tal%C3%A8ve_d%27Allen
Rails, gallinules, and coots;Gruiformes;Rallidae;Western swamphen;Porphyrio porphyrio;talève sultane;https://en.wikipedia.org/wiki/Western_swamphen;https://fr.wikipedia.org/wiki/Tal%C3%A8ve_sultane
